,track name,artists,album,release year,playlist name,track id,playlist id,popularity
102,star queen yuuki,FlowerBoyDeMii,Elysium,2023,chill cybercore  🩻💎💿  ,6ZJnxQmgkXujbBNzrzmEGp,5HM6ef3qfyK4mm6g7f3uDd,0
103,insomnia,Øneheart,broken,2023,chill cybercore  🩻💎💿  ,0iC5kL638lgeJkn3A9oZx5,5HM6ef3qfyK4mm6g7f3uDd,47
104,Blades,Midbooze,Experience,2022,chill cybercore  🩻💎💿  ,31T4pYDxta9oGKvdlMToUw,5HM6ef3qfyK4mm6g7f3uDd,0
105,Gotham Love,BAKGROUND,LT-GLOBE-XXX,2019,chill cybercore  🩻💎💿  ,76o3swrJKdlvBCm8PRbCYE,5HM6ef3qfyK4mm6g7f3uDd,50
106,Gogo Yubari,"Egofear, FlowerBoyDeMii",Gogo Yubari,2022,chill cybercore  🩻💎💿  ,7s9RCt5R9PEcaRW7oVWfB1,5HM6ef3qfyK4mm6g7f3uDd,0
107,Discarded,hxly xo,Umbrae,2022,chill cybercore  🩻💎💿  ,4NoAVH1uLOYm9ElCg306TS,5HM6ef3qfyK4mm6g7f3uDd,32
108,MADE IN HEAVEN (INTRO),DreamWeaver,Made in Heaven,2020,chill cybercore  🩻💎💿  ,5IOJXIoJN90I3aebyZBvL6,5HM6ef3qfyK4mm6g7f3uDd,10
109,Virtual Tears,TOKYOPILL,Virtual Tears,2021,chill cybercore  🩻💎💿  ,4lD3hw8GR0MGu7T044T9dv,5HM6ef3qfyK4mm6g7f3uDd,0
110,I'm God,"Clams Casino, Imogen Heap",Instrumental Relics,2020,chill cybercore  🩻💎💿  ,0FVuyC9RP5MACjp4lgU3qZ,5HM6ef3qfyK4mm6g7f3uDd,73
111,Skyline,JVNLIII,"Present Day, Present Time",2022,chill cybercore  🩻💎💿  ,2CweFrH9X9KkvcW1QKpFKj,5HM6ef3qfyK4mm6g7f3uDd,30
112,EMERALD HANDS,black balloons,dreamscape,2022,chill cybercore  🩻💎💿  ,1JOpIfph9hQvSd3zjz9eXt,5HM6ef3qfyK4mm6g7f3uDd,39
113,804,Mayo.,804,2023,chill cybercore  🩻💎💿  ,6jLaIaYXWkneF8qp99t3z4,5HM6ef3qfyK4mm6g7f3uDd,9
114,Yama,Mayo.,804,2023,chill cybercore  🩻💎💿  ,2g4luJjAgaj6NL6bmXB9Se,5HM6ef3qfyK4mm6g7f3uDd,9
115,emotionless. mind gone,AKIBA,...without me,2023,chill cybercore  🩻💎💿  ,2IhjLiwVPJ2qLyzD08aad8,5HM6ef3qfyK4mm6g7f3uDd,37
116,Transgender,Crystal Castles,(III),2012,cyber,26ZzSLUJMmYp5u1hDELEWH,43E6wKWxzap8Xvo7xIkYK4,55
117,blue memories,2 0 2 1,reverie,2022,cyber,3OC5dXo3M0IOb707kutpQb,43E6wKWxzap8Xvo7xIkYK4,25
118,heavensleep,Øneheart,heavensleep,2022,cyber,7jqiOS9oxnSpCooYGHlNbR,43E6wKWxzap8Xvo7xIkYK4,28
119,SLEEPWALKER,"dreamstation, Star Trash","Dreamcore, Vol. 1",2023,cyber,7MI5CZQrLSl6jMzEQ2vYEr,43E6wKWxzap8Xvo7xIkYK4,0
120,Start Up,VAPERROR,Mana Pool,2014,cyber,5TYfWv6foAqfAUcxtqeQ3b,43E6wKWxzap8Xvo7xIkYK4,0
121,4ui12,yeule,softscars,2023,cyber,7HHw7Lr6QHhq4wh3B1AJ13,43E6wKWxzap8Xvo7xIkYK4,36
122,Met Her on the Internet,Kempachii,Met Her on the Internet,2019,cyber,2DuCgKbzA35AnBxG1ghu7X,43E6wKWxzap8Xvo7xIkYK4,52
123,mind_flip,Two Shell,lil spirits,2023,cyber,1b1Z0rhwrek2vVnf8UMeVW,43E6wKWxzap8Xvo7xIkYK4,6
124,Mesmerized,"Sadbalmain, Nedaj",EUPHORIA,2021,cyber,6FaG1QUEKagxexk55iRzVt,43E6wKWxzap8Xvo7xIkYK4,0
125,K.I.D.S.,"Ftlframe, BBAudio",AUDIO GIRL LAIN,2023,cyber,5WEoEw7P3u2yHZYRcBjJ2J,43E6wKWxzap8Xvo7xIkYK4,29
126,Gargoyle,"dreamstation, Downhill2k01","Dreamcore, Vol. 1",2023,cyber,2VIPWaQYHhaM9LokOrndCU,43E6wKWxzap8Xvo7xIkYK4,0
127,Gogo Yubari,"Egofear, FlowerBoyDeMii",Gogo Yubari,2022,cyber,7s9RCt5R9PEcaRW7oVWfB1,43E6wKWxzap8Xvo7xIkYK4,0
128,I'm God,"Clams Casino, Imogen Heap",Instrumental Relics,2020,cyber,0FVuyC9RP5MACjp4lgU3qZ,43E6wKWxzap8Xvo7xIkYK4,73
129,FINAL FANTASY,black balloons,FINAL FANTASY,2022,cyber,2219puT2YzNNVEQ784V2jt,43E6wKWxzap8Xvo7xIkYK4,27
130,apartment complex lovers,"TURQUOISEDEATH, 2 0 2 1",apartment complex lovers,2022,cyber,2Ub9pOiOeKLDRuFkQkSx3v,43E6wKWxzap8Xvo7xIkYK4,20
131,S u r r e a l i t y,TOKYOPILL,S u r r e a l i t y,2023,cyber,1YCSXPHGGLtBT3pLHuoWKv,43E6wKWxzap8Xvo7xIkYK4,42
132,//obsession//,Blksmiith,A MESSAGE FROM MY DIGITAL TWIN,2022,cyber,7gX1BZnSbtv0nhkKEJ1mYZ,43E6wKWxzap8Xvo7xIkYK4,0
133,Escape DSi,Eden FM,Escape DSi,2022,cyber,4UYr7YaHyJrzZv4Kakhohr,43E6wKWxzap8Xvo7xIkYK4,31
134,inSIDE,Enkei,spirals and that damn flower,2023,cyber,36mSO556Z2e9vUC8sGayDS,43E6wKWxzap8Xvo7xIkYK4,0
135,you're my friend now,"usedcvnt, DXRKWRLD",ultraviolet,2023,cyber,0KOqL8ySnRsmNvOg9JYLoo,43E6wKWxzap8Xvo7xIkYK4,44
136,outer heaven,mindvacy,outer heaven,2022,cyber,2CvX3oiTKGzeg6Xs3PHGUj,43E6wKWxzap8Xvo7xIkYK4,37
137,いつか会いたい,AKIBA,...without me,2023,cyber,4OR8U9XAyneosgscLLPhPk,43E6wKWxzap8Xvo7xIkYK4,43
138,Goes..!,"dreamstation, GnB Chili","Dreamcore, Vol. 1",2023,cyber,2AQnxt35UdBTIu3tRItI77,43E6wKWxzap8Xvo7xIkYK4,0
139,abroad,11vx,abroad,2023,cyber,6YdFePOtOJBLn6tR1D6nUg,43E6wKWxzap8Xvo7xIkYK4,33
